age,sex,acmr,disability_rate,income,income_death,acmr_apc,expenditure_rate,expenditure_rate_death
0,female,0.009454061,0.026796926,0,0,-0.042956269,0,0
0,male,0.011210984,0.029125667,0,0,-0.045183948,0,0
1,female,0.001011729,0.034984448,0,0,0,0,0
1,male,0.001126092,0.035041357,0,0,0,0,0
2,female,0.000168237,0.038332959,0,0,0,0,0
2,male,0.000209185,0.036140071,0,0,0,0,0
3,female,0.000168237,0.038332959,0,0,0,0,0
3,male,0.000209185,0.036140071,0,0,0,0,0
4,female,0.000168237,0.038332959,0,0,0,0,0
4,male,0.000209185,0.036140071,0,0,0,0,0
5,female,0.000177296,0.04919043,0,0,-0.024818435,0,0
5,male,0.000205857,0.040334778,0,0,-0.026167832,0,0
6,female,0.000177296,0.04919043,0,0,-0.024818435,0,0
6,male,0.000205857,0.040334778,0,0,-0.026167832,0,0
7,female,0.000177296,0.04919043,0,0,-0.024818435,0,0
7,male,0.000205857,0.040334778,0,0,-0.026167832,0,0
8,female,0.000177296,0.04919043,0,0,-0.024818435,0,0
8,male,0.000205857,0.040334778,0,0,-0.026167832,0,0
9,female,0.000177296,0.04919043,0,0,-0.024818435,0,0
9,male,0.000205857,0.040334778,0,0,-0.026167832,0,0
10,female,0.000208292,0.076512148,0,0,-0.013868029,0,0
10,male,0.000277965,0.05605647,0,0,-0.015992335,0,0
11,female,0.000208292,0.076512148,0,0,-0.013868029,0,0
11,male,0.000277965,0.05605647,0,0,-0.015992335,0,0
12,female,0.000208292,0.076512148,0,0,-0.013868029,0,0
12,male,0.000277965,0.05605647,0,0,-0.015992335,0,0
13,female,0.000208292,0.076512148,0,0,-0.013868029,0,0
13,male,0.000277965,0.05605647,0,0,-0.015992335,0,0
14,female,0.000208292,0.076512148,0,0,-0.013868029,0,0
14,male,0.000277965,0.05605647,0,0,-0.015992335,0,0
15,female,0.000444106,0.10352472,0,0,-0.007102409,0,0
15,male,0.001450931,0.071906211,0,0,0.007320255,0,0
16,female,0.000444106,0.10352472,0,0,-0.007102409,0,0
16,male,0.001450931,0.071906211,0,0,0.007320255,0,0
17,female,0.000444106,0.10352472,0,0,-0.007102409,0,0
17,male,0.001450931,0.071906211,0,0,0.007320255,0,0
18,female,0.000444106,0.10352472,0,0,-0.007102409,0,0
18,male,0.001450931,0.071906211,0,0,0.007320255,0,0
19,female,0.000444106,0.10352472,0,0,-0.007102409,0,0
19,male,0.001450931,0.071906211,0,0,0.007320255,0,0
20,female,0.000624231,0.12394729,0,0,-0.010273554,0,0
20,male,0.002388347,0.083772217,0,0,0.00023229,0,0
21,female,0.000624231,0.12394729,0,0,-0.010273554,0,0
21,male,0.002388347,0.083772217,0,0,0.00023229,0,0
22,female,0.000624231,0.12394729,0,0,-0.010273554,0,0
22,male,0.002388347,0.083772217,0,0,0.00023229,0,0
23,female,0.000624231,0.12394729,0,0,-0.010273554,0,0
23,male,0.002388347,0.083772217,0,0,0.00023229,0,0
24,female,0.000624231,0.12394729,0,0,-0.010273554,0,0
24,male,0.002388347,0.083772217,0,0,0.00023229,0,0
25,female,0.000849392,0.13784782,0,0,-0.013140747,0,0
25,male,0.002542992,0.094119775,0,0,-0.008391709,0,0
26,female,0.000849392,0.13784782,0,0,-0.013140747,0,0
26,male,0.002542992,0.094119775,0,0,-0.008391709,0,0
27,female,0.000849392,0.13784782,0,0,-0.013140747,0,0
27,male,0.002542992,0.094119775,0,0,-0.008391709,0,0
28,female,0.000849392,0.13784782,0,0,-0.013140747,0,0
