age,sex,i,prev,f
0,female,0.0,0.0,0.0
0,male,0.0,0.0,0.0
1,female,0.0,0.0,0.0
1,male,0.0,0.0,0.0
2,female,0.0,0.0,0.0
2,male,0.0,0.0,0.0
3,female,0.0,0.0,0.0
3,male,0.0,0.0,0.0
4,female,0.0,0.0,0.0
4,male,0.0,0.0,0.0
5,female,0.0,0.0,0.0
5,male,0.0,0.0,0.0
6,female,0.0,0.0,0.0
6,male,0.0,0.0,0.0
7,female,0.0,0.0,0.0
7,male,0.0,0.0,0.0
8,female,0.0,0.0,0.0
8,male,0.0,0.0,0.0
9,female,0.0,0.0,0.0
9,male,0.0,0.0,0.0
10,female,0.0,0.0,0.0
10,male,0.0,0.0,0.0
11,female,0.0,0.0,0.0
11,male,0.0,0.0,0.0
12,female,0.0,0.0,0.0
12,male,0.0,0.0,0.0
13,female,0.0,0.0,0.0
13,male,0.0,0.0,0.0
14,female,0.0,0.0,0.0
14,male,0.0,0.0,0.0
15,female,0.18243024189775497,0.16104703550303195,0.11154594381927198
15,male,0.17377114292306148,0.16371679789197988,0.10926971483697885
16,female,0.18243024189775497,0.12078527662727395,0.11154594381927198
16,male,0.17377114292306148,0.1227875984189849,0.10926971483697885
17,female,0.18243024189775497,0.09662822130181917,0.11154594381927198
17,male,0.17377114292306148,0.09823007873518792,0.10926971483697885
18,female,0.18243024189775497,0.08920895063938064,0.11154594381927198
18,male,0.17377114292306148,0.09042792207392686,0.10926971483697885
19,female,0.18243024189775497,0.08284776559002793,0.11154594381927198
19,male,0.17377114292306148,0.0837739756402302,0.10926971483697885
20,female,0.1884812901355838,0.11537991702019194,0.11010922033290767
20,male,0.1846399314558028,0.11141064813595492,0.10680676917855451
21,female,0.1884812901355838,0.10817945108067661,0.11010922033290767
21,male,0.1846399314558028,0.1042644133928297,0.10680676917855451
22,female,0.1884812901355838,0.10182490695171985,0.11010922033290767
22,male,0.1846399314558028,0.0979796836043504,0.10680676917855451
23,female,0.1884812901355838,0.09501125773960975,0.11010922033290767
23,male,0.1846399314558028,0.09129503397190189,0.10680676917855451
24,female,0.1884812901355838,0.08905229248548004,0.11010922033290767
24,male,0.1846399314558028,0.08546424810233617,0.10680676917855451
25,female,0.19270451225128132,0.11558117256192078,0.11047478574181867
25,male,0.18277166921465257,0.1135654994357215,0.10903808833081936
