age,sex,incidence
0,female,0.07503975465415934
0,male,0.07350756516319638
1,female,0.09472996273957114
1,male,0.0922151261283929
2,female,0.10943520866515546
2,male,0.108097330412752
3,female,0.10943520866515546
3,male,0.108097330412752
4,female,0.10943520866515546
4,male,0.108097330412752
5,female,0.1272001454196336
5,male,0.13237737820531
6,female,0.1272001454196336
6,male,0.13237737820531
7,female,0.1272001454196336
7,male,0.13237737820531
8,female,0.1272001454196336
8,male,0.13237737820531
9,female,0.1272001454196336
9,male,0.13237737820531
10,female,0.13453702399373227
10,male,0.13016664792934537
11,female,0.13453702399373227
11,male,0.13016664792934537
12,female,0.13453702399373227
12,male,0.13016664792934537
13,female,0.13453702399373227
13,male,0.13016664792934537
14,female,0.13453702399373227
14,male,0.13016664792934537
15,female,0.09784521896638813
15,male,0.0867284052960628
16,female,0.09784521896638813
16,male,0.0867284052960628
17,female,0.09784521896638813
17,male,0.0867284052960628
18,female,0.09784521896638813
18,male,0.0867284052960628
19,female,0.09784521896638813
19,male,0.0867284052960628
20,female,0.10473786523761634
20,male,0.08955619916462736
21,female,0.10473786523761634
21,male,0.08955619916462736
22,female,0.10473786523761634
22,male,0.08955619916462736
23,female,0.10473786523761634
23,male,0.08955619916462736
24,female,0.10473786523761634
24,male,0.08955619916462736
25,female,0.07110658050919257
25,male,0.059070901135435276
26,female,0.07110658050919257
26,male,0.059070901135435276
27,female,0.07110658050919257
27,male,0.059070901135435276
28,female,0.07110658050919257
28,male,0.059070901135435276
29,female,0.07110658050919257
29,male,0.059070901135435276
30,female,0.06418300005774608
30,male,0.057964373737358216
31,female,0.06418300005774608
31,male,0.057964373737358216
32,female,0.06418300005774608
32,male,0.057964373737358216
33,female,0.06418300005774608
33,male,0.057964373737358216
34,female,0.06418300005774608
34,male,0.057964373737358216
35,female,0.0762356931048556
35,male,0.06829906684278143
36,female,0.0762356931048556
36,male,0.06829906684278143
37,female,0.0762356931048556
37,male,0.06829906684278143
38,female,0.0762356931048556
38,male,0.06829906684278143
39,female,0.0762356931048556
39,male,0.06829906684278143
40,female,0.060345235211805785
40,male,0.05273485006568437
41,female,0.060345235211805785
41,male,0.05273485006568437
42,female,0.060345235211805785
42,male,0.05273485006568437
