age,sex,incidence,incidence_apc,disability_rate,excess_mortality,excess_mortality_apc,income,expenditure_rate
0,female,0.047606747000000005,-0.04177966285447465,0.0013527984944374934,0.0035891644168280037,-0.00822033714552535,0.0,0.0
0,male,0.053711044666666666,-0.04148723456610326,0.0013451550815116648,0.003394430235559125,-0.008512765433896743,0.0,0.0
1,female,0.0457076755,-0.039183536829137555,0.0013852025082745675,0.0028768487362696884,-0.010816463170862448,0.0,0.0
1,male,0.05143318575,-0.03905000814917259,0.0013759550223855228,0.002722968185963476,-0.010949991850827415,0.0,0.0
2,female,0.0445682326,-0.0365803680755733,0.0014059704355429163,0.0024203213344385567,-0.013419631924426703,0.0,0.0
2,male,0.0500664704,-0.03660657400064238,0.0013957802305952052,0.0022907636245114655,-0.013393425999357625,0.0,0.0
3,female,0.038072119599999996,-0.033970134857487455,0.0014534703027146408,0.0010979983683388095,-0.016029865142512548,0.0,0.0
3,male,0.0421322336,-0.034156912969492526,0.0014384909942206342,0.0009651037442268432,-0.015843087030507477,0.0,0.0
4,female,0.0313393534,-0.03135281482203356,0.00150431496777467,0.00041901650083182634,-0.018647185177966444,0.0,0.0
4,male,0.0352613366,-0.031701005003159755,0.0014929582618260708,0.00036466064079941884,-0.018298994996840248,0.0,0.0
5,female,0.027003799599999996,-0.02872838503202324,0.0015068663744638368,0.0004818612933270324,-0.020287451002753087,0.0,0.0
5,male,0.030592200400000002,-0.029238829070209804,0.0014971326547664743,0.0004139410122326473,-0.0207611709297902,0.0,0.0
6,female,0.0226682458,-0.0260968221419432,0.0015103937508918312,0.0005687456150665174,-0.016840756843694127,0.0,0.0
6,male,0.0259230642,-0.026770363193492797,0.0015028107904003106,0.00048097366514256444,-0.017875370608480323,0.0,0.0
7,female,0.018332692,-0.0234581028384514,0.0015155895271681866,0.0006967250090712263,-0.013362369651200745,0.0,0.0
7,male,0.021253928000000002,-0.024295584711142237,0.0015109837108698212,0.000577458246776784,-0.014018513240247499,0.0,0.0
8,female,0.01649467532,-0.02081220474853518,0.0015078480732411287,0.0007697170361762538,-0.009852063490285334,0.0,0.0
8,male,0.0190808546,-0.021814470966093347,0.001503972227742881,0.0006512845499068999,-0.01012602804940621,0.0,0.0
9,female,0.01465665864,-0.018159108146023173,0.001498164986941389,0.0008610161776954641,-0.0063096081921293345,0.0,0.0
9,male,0.016907781200000003,-0.01932700076368421,0.0014951584421970159,0.0007440879114286146,-0.0061976581192351166,0.0,0.0
10,female,0.01281864196,-0.015498798989702522,0.0014857050582603214,0.000978497397707175,-0.0027347663056860316,0.0,0.0
10,male,0.014734707800000002,-0.016833157154955147,0.0014837449440293614,0.0008642645360093261,-0.002233140443926973,0.0,0.0
11,female,0.01098062528,-0.01636660487398023,0.0014690738631598218,0.0011353083346452198,-0.0009284172907129129,0.0,0.0
11,male,0.012561634399999999,-0.01765504730368117,0.001468382537864659,0.0010260205630566671,-0.00011548734237709635,0.0,0.0
12,female,0.0091426086,-0.01723362311074239,0.0014457556457136314,0.0013551693550569366,0.0008780412995506026,0.0,0.0
